id,organisation,records_lost,month,year,sector,method,data_sensitivity,story,source_name,city,country,latitude,longitude,coordinates,dSens_desc,date
17,Travelio,471376,Nov,2021,misc,hacked,2,"The Indonesian real estate website Travelio suffered a data breach of over 470k customer accounts. The data included email addresses, names, password hashes, phone numbers and for some accounts, dates of birth, physical address and Facebook auth tokens. ",HaveIBeenPwned,Jakarta,Indonesia,-6.2088,106.8456,"[-6.2088, 106.8456]",SSN/Personal details,2021-11-01
19,Brewdog,200000,Oct,2021,retail,poor security,1,"BrewDog, one of the world's largest craft beer brewers, has exposed personally identifiable information (PII) belonging to more than 200,000 of its shareholders and customers,",Tech Radar,Ellon,United Kingdom,57.3632,-2.0946,"[57.3632, -2.0946]",Just email address/online information,2021-10-01
21,Okta,100000,Jan,2021,tech,hacked,1,Identity and access management provider Okta,The Verge,San Francisco,USA,37.7749,-122.4194,"[37.7749, -122.4194]",Just email address/online information,2021-01-01
22,Experian SA,24000000,Jul,2020,web,accident,3,Handed over personal information of their South African customers to a fraudulent client.,Uni of Hawaii,Johannesburg,South Africa,-26.2041,28.0473,"[-26.2041, 28.0473]",Credit card information,2020-07-01
23,Royal Enfield,420873,Jan,2020,transport,poor security,3,"Motorcycle maker Royal Enfield left a database publicly exposed that resulted in the inadvertent publication of over 400k customers. (Email and physical addresses, names, motorcycle information, social media profiles, passwords, and other personal information)",The Quint,Chennai,India,13.0827,80.2707,"[13.0827, 80.2707]",Credit card information,2020-01-01
24,Avvo,4101101,Dec,2019,legal,hacked,1,"A data breach of the lawyer directory service released 4.1M unique email addresses alongside SHA-1 hashes, most likely representing user passwords. ",HaveIBeenPwned,Seattle,USA,47.6062,-122.3321,"[47.6062, -122.3321]",Just email address/online information,2019-12-01
26,Twitch,10000000,Oct,2021,gaming,hacked,4,"Full source code breach of the streaming gaming site revealed a trove of internal data & documents including core config packages, devtools, and payments to top streamers. ",BBC,San Francisco,USA,37.7749,-122.4194,"[37.7749, -122.4194]",Health & other personal records,2021-10-01
220,Twitch,10000000,Mar,2015,health,hacked,1,All users were forced to reset their passwords after unauthorised access to a number of accounts.,Twitch,San Francisco,USA,37.7749,-122.4194,"[37.7749, -122.4194]",Just email address/online information,2015-03-01
27,Syniverse,500000000,Sep,2021,telecoms,hacked,4,"""A company that is a critical part of the global telecommunications infrastructure used by AT&T, T-Mobile, Verizon and several others around the world such as Vodafone and China Mobile, quietly disclosed that hackers were inside its systems for years, impacting more than 200 of its clients and potentially millions of cellphone users worldwide.""",Vice,Tampa,USA,27.9506,-82.4572,"[27.9506, -82.4572]",Health & other personal records,2021-09-01
29,Neiman Marcus,4600000,Sep,2021,retail,hacked,3,"Occurred sometime in May 2020 after ""an unauthorized party"" obtained the personal information of some Neiman Marcus customers from their online accounts.",Ars Technica,Dallas,USA,32.7767,-96.797,"[32.7767, -96.797]",Credit card information,2021-09-01
244,Neiman Marcus,1100000,Jan,2014,retail,hacked,2,Malware in the firm's IT system leaked customer payment data for several months.,NY Times,Dallas,USA,32.7767,-96.797,"[32.7767, -96.797]",SSN/Personal details,2014-01-01
30,Epik,15000000,Sep,2021,retail,hacked,5,"An Internet-services company for concealing online identities, popular with the far right ",Ars Technica,Sammamish,USA,47.6163,-122.0356,"[47.6163, -122.0356]",Full details,2021-09-01
34,Estonian gov,280000,Jul,2021,government,hacked,4,"A hacker was able to obtain over 280,000 personal identity photos following an attack on the state information system last Friday.",News ERR,Tallinn,Estonia,59.437,24.7536,"[59.437, 24.7536]",Health & other personal records,2021-07-01
35,Guntrader,111000,Jul,2021,retail,hacked,2,"Criminals have hacked into a Gumtree-style website used for buying and selling firearms, making off with a 111,000-entry database containing names, mobile phone numbers, email addresses, user geolocation data, and more including bcrypt-hashed passwords used by gun shops across the UK.",The Register,Chichester,United Kingdom,50.8376,-0.7747,"[50.8376, -0.7747]",SSN/Personal details,2021-07-01
36,Linkedin,700000000,Jul,2021,web,hacked,1,"The hacker appears to have misused the official LinkedIn API to scrape the data, the same method used in a similar breach back in April. User details, but no passwords.",9 to 5 mac,Sunnyvale,USA,37.3688,-122.0363,"[37.3688, -122.0363]",Just email address/online information,2021-07-01
37,VW,3300000,Jun,2021,transport,hacked,2,"Phone numbers, email addresses and some sensitive credit data. Nearly all those impacted were current or potential customers of Audi, one of the German automaker's luxury brands",Reuters,Wolfsburg,Germany,52.4226,10.7865,"[52.4226, 10.7865]",SSN/Personal details,2021-06-01
38,MacDonalds,10000000,Jun,2021,retail,hacked,2,Unknown detail,Wall St Journal,Chicago,USA,41.8781,-87.6298,"[41.8781, -87.6298]",SSN/Personal details,2021-06-01
39,Air India,4500000,May,2021,transport,hacked,2,"Passenger’s name, date of birth, contact information, passport information, ticket information, frequent flyer data and credit card information.",Indian Express,New Delhi,India,28.6139,77.209,"[28.6139, 77.209]",SSN/Personal details,2021-05-01
40,Omiai dating app,1710000,May,2021,app,hacked,2,"Addresses and dates of birth from identification, including passports, drivers’ licenses and health insurance cards, provided to the company.",Japan Times,Tokyo,Japan,35.682839,139.759455,"[35.682839, 139.759455]",SSN/Personal details,2021-05-01
44,Park Mobile,21000000,Apr,2021,transport,hacked,2,"Customer email addresses, dates of birth, phone numbers, license plate numbers, hashed passwords and mailing addresses.",Krebson Security,Atlanta,USA,33.749,-84.388,"[33.749, -84.388]",SSN/Personal details,2021-04-01
45,Ubiquiti,16000000,Feb,2021,tech,hacked,2,Unknown amount of user data breached,ZDNet,New York City,USA,40.7128,-74.006,"[40.7128, -74.006]",SSN/Personal details,2021-02-01
46,Meet Mindful,2240000,Feb,2021,tech,hacked,4,"Dating site user data includes real names, phone numbers, Facebook account codes, latitude & longtitude. Thankfully private messages were not leaked.",ZDnet,Denver,USA,39.7392,-104.9903,"[39.7392, -104.9903]",Health & other personal records,2021-02-01
47,Experian Brazil,220000000,Feb,2021,financial,hacked,2,Details hazy,ZDNet,São Paulo,Brazil,-23.5505,-46.6333,"[-23.5505, -46.6333]",SSN/Personal details,2021-02-01
48,Gab,4000000,Mar,2021,tech,hacked,3,"Over 70GB of data from the far-right social media site was hacked. Alll posts, messages, passwords from all users were breached.",Wired,Philadelphia,USA,39.9526,-75.1652,"[39.9526, -75.1652]",Credit card information,2021-03-01
49,Star Alliance,16000000,Mar,2021,transport,hacked,1,"The Star Alliance of airlines including Singapore Airlines, Lufthansa and United, said on Thursday it had been the victim of a cyber attack leading to a breach of passenger data. Lufthansa, Cathay Pacific and Air New Zealand were also affected. Breached data was limited to ""name, tier status and membership number”",The Guardian,Frankfurt,Germany,50.1109,8.6821,"[50.1109, 8.6821]",Just email address/online information,2021-03-01
50,Facebook,533000000,Mar,2021,tech,hacked,1,"Phone numbers, full names, locations, email addresses, and biographical information on 533 million users from 106 countries. Scraped due to a vulnerability ""patched in 2019"".",Business Insider,Menlo Park,USA,37.4529,-122.1817,"[37.4529, -122.1817]",Just email address/online information,2021-03-01
116,Facebook,419000000,Sep,2019,web,poor security,2,"Several unprotected databases were found to contain the phone numbers of around 20% of all Facebook users, with (in some cases) names and locations.",Fast Company,Menlo Park,USA,37.4529,-122.1817,"[37.4529, -122.1817]",SSN/Personal details,2019-09-01
129,Facebook,50000000,Mar,2018,web,hacked,1,"Cambridge Analytica, headed at the time by Steve Bannon, harvested profiles in early 2014 to build a system that could profile US voters and target them with political adverts.",Guardian,Menlo Park,USA,37.4529,-122.1817,"[37.4529, -122.1817]",Just email address/online information,2018-03-01
158,Facebook,29000000,Oct,2018,web,hacked,2,"The biggest hack in Facebook's history to date. Names, birth dates, phone numbers, search history and location data was stolen by hackers masquerading as a digital marketing company. ","Business Insider, Facebook",Menlo Park,USA,37.4529,-122.1817,"[37.4529, -122.1817]",SSN/Personal details,2018-10-01
284,Facebook,6000000,Jun,2013,web,accident,1,"By using the network's ""Download Your Information"" tool, some Facebook members were able to access phone numbers and email addresses of strangers. ",Facebook,Menlo Park,USA,37.4529,-122.1817,"[37.4529, -122.1817]",Just email address/online information,2013-06-01
51,Ledger,270000,Dec,2020,financial,hacked,2,A threat actor has leaked the stolen email and mailing addresses for Ledger cryptocurrency wallet users on a hacker forum for free.,Bleeping Computer,Paris,France,48.8566,2.3522,"[48.8566, 2.3522]",SSN/Personal details,2020-12-01
52,T-mobile,200000,Dec,2020,telecoms,hacked,1,"The information exposed in this breach includes phone numbers, call records, and the number of lines on an account.",Bleeping Computer,Bellevue,USA,47.6101,-122.2015,"[47.6101, -122.2015]",Just email address/online information,2020-12-01
53,The Hospital Group,1000000,Dec,2020,health,hacked,4,Hackers compromised the plastic surgery firm and threatened to release over 900 gigabytes of private surgery photographs. ,BBC,Manchester,United Kingdom,53.483,-2.2441,"[53.483, -2.2441]",Health & other personal records,2020-12-01
54,SolarWinds,50000000,Dec,2020,app,hacked,3,"Suspected Russian hackers compromised network monitoring software used by the Pentagon, intelligence agencies, nuclear labs and many Fortune 500 companies. A tainted software update acted as a trojan horse. An unknown number of companies and individuals might be affected.",New York Times,Austin,USA,30.2672,-97.7431,"[30.2672, -97.7431]",Credit card information,2020-12-01
55,Ho Mobile,2500000,Dec,2020,telecoms,hacked,2,"Italian mobile operator owned by Vodaphone is now taking the rare step of offering to replace the SIM cards of all affected customers. Data hacked full names, telephone numbers, social security numbers, email addresses, dates and places of birth, nationality, and home addresses.",ZD Net,Rome,Italy,41.9028,12.4964,"[41.9028, 12.4964]",SSN/Personal details,2020-12-01
56,Spotify,500000,Dec,2020,app,accident,1,Undisclosed number of users had their email addresses and passwords left open online. Spotify said the vulnerability existed as far back as April 9 but wasn’t discovered until November 12.,Tech Crunch,Stockholm,Sweden,59.3293,18.0686,"[59.3293, 18.0686]",Just email address/online information,2020-12-01
57,Drizly,2400000,Sep,2020,app,hacked,2,"Alcohol delivery service hacked with email addresses, DOB, hashed passwords and some home addresses leaked. ",Tech Crunch,Boston,USA,42.3601,-71.0589,"[42.3601, -71.0589]",SSN/Personal details,2020-09-01
58,GEDmatch,1400000,Sep,2020,misc,hacked,5,DNA data on up to 1.4m users of this geneaology site may have been hacked.,New York Times,Lake Worth,USA,26.6168,-80.0684,"[26.6168, -80.0684]",Full details,2020-09-01
59,Call of Duty / Activision,500000,Sep,2020,gaming,hacked,1,Login data for users of the popular video games may have compromised. Activision refutes the claim. ,Forbes,Santa Monica,USA,34.0194,-118.4912,"[34.0194, -118.4912]",Just email address/online information,2020-09-01
60,Zhenhua,2400000,Sep,2020,misc,accident,1,Personal details of millions of notable people around the world found in a leaked database compiled by a Chinese tech company with reported links to the country’s military and intelligence networks. Mostly compiled from social media profiles.,The Guardian,Shenzhen,China,22.5431,114.0579,"[22.5431, 114.0579]",Just email address/online information,2020-09-01
62,Nintendo,300000,Apr,2020,gaming,hacked,3,Unauthorised access to thousands of Nintendo Switch accounts. Hackers were able to use saved payment details to make purchases.,Tech Crunch,Kyoto,Japan,35.0116,135.7681,"[35.0116, 135.7681]",Credit card information,2020-04-01
282,Nintendo,4000000,Jun,2013,gaming,hacked,2,"Names, phone numbers, home and email addresses of Japanese members of Club Nintendo were stolen after a website breach.",ZDNet,Kyoto,Japan,35.0116,135.7681,"[35.0116, 135.7681]",SSN/Personal details,2013-06-01
64,US Marshals Service,387000,May,2020,government,hacked,2,Prisoners had sensitive personal data stolen in December 2019. They were notified five months later.,NextGov,Arlington,USA,38.8783,-77.0687,"[38.8783, -77.0687]",SSN/Personal details,2020-05-01
66,EasyJet,9000000,May,2020,transport,hacked,3,"The airline became aware of a hack in January, but didn't notify customers until April. Email addresses, travel details and credit card details were stolen. ",BBC,London,United Kingdom,51.5074,-0.1278,"[51.5074, -0.1278]",Credit card information,2020-05-01
67,Microsoft,250000000,Jan,2020,web,poor security,1,Customer support records spanning 14 years were left online without password protection. ,Forbes,Redmond,USA,47.6739,-122.1215,"[47.6739, -122.1215]",Just email address/online information,2020-01-01
68,Dutch Government,6900000,Mar,2020,government,lost device,4,"Two hard drives with data from 6.9m registered organ donors went missing. They contained contact details, ID numbers & signatures.",ZDNet,The Hague,Netherlands,52.0705,4.3007,"[52.0705, 4.3007]",Health & other personal records,2020-03-01
69,Virgin Media,900000,Mar,2020,retail,poor security,1,"A poorly-configured database left names, email addresses and phone numbers exposed for 10 months. ",BBC ,Hook,United Kingdom,51.2778,-0.9614,"[51.2778, -0.9614]",Just email address/online information,2020-03-01
70,Boots Advantage Card,150000,Mar,2020,retail,hacked,1,"Hackers accessed Advantage Card records, but no financial data was stolen. Payment using points was suspended.",Which,Nottingham,United Kingdom,52.9548,-1.1581,"[52.9548, -1.1581]",Just email address/online information,2020-03-01
71,Tesco Clubcard,600000,Mar,2020,retail,hacked,1,"Details of accrued loyalty points were accessed, but financial details weren't exposed.",Tech Radar,Welwyn Garden City,United Kingdom,51.8061,-0.2062,"[51.8061, -0.2062]",Just email address/online information,2020-03-01
72,Marriott Hotels,5200000,Mar,2020,retail,inside job,2,Guest records were accessed using the logins of two employees between mid-Jan and end of Feb. ,Marriott,Bethesda,USA,38.9847,-77.0947,"[38.9847, -77.0947]",SSN/Personal details,2020-03-01
73,Zoom,500000,Apr,2020,app,hacked,1,"Email addresses, passwords and personal meeting URLs were sold on the dark web. It led to a host of zoom-bombing pranks. ",We Live Security,San Jose,USA,37.3541,-121.9552,"[37.3541, -121.9552]",Just email address/online information,2020-04-01
74,Israeli government,6500000,Feb,2020,government,poor security,2,"Names, addresses, and ID card numbers of every Israeli voter were found on an insecure website belonging to Elector, a political communications app.",NYTimes,Jerusalem,Israel,31.7683,35.2137,"[31.7683, 35.2137]",SSN/Personal details,2020-02-01
75,MGM Hotels,10600000,Feb,2020,retail,hacked,2,Data stolen during an 2019 hack of an MGM server was published on a hacking forum.,ZDNet,Las Vegas,USA,36.1699,-115.1398,"[36.1699, -115.1398]",SSN/Personal details,2020-02-01
76,Buchbinder Car Rentals,5000000,Jan,2020,transport,poor security,2,"Correspondence, invoices and contracts containing personal details were left exposed on an unsecured company server. ",Teller Report,Regensburg,Germany,49.0134,12.1016,"[49.0134, 12.1016]",SSN/Personal details,2020-01-01
77,Wawa,30000000,Dec,2019,retail,hacked,3,"Card-stealing malware was installed, and remained undiscovered for nine months. ",Krebs on Security,Wawa,USA,39.9607,-75.6055,"[39.9607, -75.6055]",Credit card information,2019-12-01
78,Desjardins Group,4200000,Jun,2019,financial,inside job,2,"An employee of the Canadian financial firm leaked customer information outside the organisation: names, addresses, birthdates, social insurance numbers & transaction habits.",CBC,Lévis,Canada,46.8139,-71.208,"[46.8139, -71.208]",SSN/Personal details,2019-06-01
79,US Customs and Border Protection,100000,Jun,2019,government,hacked,2,Photos of faces and license plates taken at an US border crossing were stolen in a cyberattack on a surveillance contractor.,Washington Post,Washington,USA,38.8951,-77.0369,"[38.8951, -77.0369]",SSN/Personal details,2019-06-01
80,Quest Diagnostics,20000000,Jun,2019,health,poor security,4,"For an 8 month period, a hacker group stole personal and payment information from a firm providing billing services for the US healthcare sector.",ZDNet,Secaucus,USA,40.7891,-74.0561,"[40.7891, -74.0561]",Health & other personal records,2019-06-01
215,Quest Diagnostics,34000,Dec,2016,health,hacked,4,"Healthcare data accessed by an unauthorised third party contained names, dates of birth and lab results.",Newsroom,Secaucus,USA,40.7891,-74.0561,"[40.7891, -74.0561]",Health & other personal records,2016-12-01
81,Australian National University,200000,Jun,2019,academic,hacked,4,"A hacker accessed personal information including addresses, bank account details, payroll information and academic records. Staff, students and visitors were affected.",Guardian,Canberra,Australia,-35.2809,149.13,"[-35.2809, 149.13]",Health & other personal records,2019-06-01
82,Canva,139000000,May,2019,web,hacked,2," Names, email addresses and location data belonging to users of an Australian graphic design service were stolen by a hacker.",ZDNet,Sydney,Australia,-33.8651,151.2099,"[-33.8651, 151.2099]",SSN/Personal details,2019-05-01
83,Chtrbox,49000000,May,2019,misc,poor security,1,"Contact details for millions of Instagram influencers, celebrities and brand accounts was left exposed in an online database for at least six days.",Techcrunch,Mumbai,India,19.076,72.8777,"[19.076, 72.8777]",Just email address/online information,2019-05-01
85,Toyota,3100000,Apr,2019,transport,hacked,2,A security breach of Toyota subsidiaries' IT systems may have leaked personal customer information.,Bleeping Computer,Toyota City,Japan,35.0806,137.1698,"[35.0806, 137.1698]",SSN/Personal details,2019-04-01
87,Vårdguiden,2700000,Feb,2019,health,poor security,5,"170,000 hours of sensitive calls to Sweden's healthcare hotline were stored on an open web server with no encryption or authentication. The breach was blamed on subcontractor Medicall.",ComputerSweden,Stockholm,Sweden,59.3293,18.0686,"[59.3293, 18.0686]",Full details,2019-02-01
88,Dubsmash,162000000,Feb,2019,web,hacked,1,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",The Register,New York City,USA,40.7128,-74.006,"[40.7128, -74.006]",Just email address/online information,2019-02-01
89,ShareThis,41000000,Feb,2019,web,hacked,1,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",The Register,Palo Alto,USA,37.4419,-122.143,"[37.4419, -122.143]",Just email address/online information,2019-02-01
90,HauteLook,28000000,Feb,2019,retail,hacked,1,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",The Register,Los Angeles,USA,34.0522,-118.2437,"[34.0522, -118.2437]",Just email address/online information,2019-02-01
91,Animoto,25000000,Feb,2019,web,hacked,1,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",The Register,New York City,USA,40.7128,-74.006,"[40.7128, -74.006]",Just email address/online information,2019-02-01
92,EyeEm,22000000,Feb,2019,web,hacked,1,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",The Register,Berlin,Germany,52.52,13.405,"[52.52, 13.405]",Just email address/online information,2019-02-01
93,8fit,20000000,Feb,2019,web,hacked,1,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",The Register,Berlin,Germany,52.52,13.405,"[52.52, 13.405]",Just email address/online information,2019-02-01
94,Whitepages,18000000,Feb,2019,web,hacked,1,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",The Register,Seattle,USA,47.6062,-122.3321,"[47.6062, -122.3321]",Just email address/online information,2019-02-01
95,Fotolog,16000000,Feb,2019,web,hacked,1,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",The Register,New York City,USA,40.7128,-74.006,"[40.7128, -74.006]",Just email address/online information,2019-02-01
96,Armor Games,11000000,Feb,2019,gaming,hacked,1,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",The Register,Irvine,USA,33.6846,-117.8265,"[33.6846, -117.8265]",Just email address/online information,2019-02-01
97,BookMate,8000000,Feb,2019,web,hacked,1,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",The Register,Moscow,Russia,55.7558,37.6176,"[55.7558, 37.6176]",Just email address/online information,2019-02-01
98,CoffeeMeetsBagel,6000000,Feb,2019,web,hacked,1,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",The Register,San Francisco,USA,37.7749,-122.4194,"[37.7749, -122.4194]",Just email address/online information,2019-02-01
99,Artsy,1000000,Feb,2019,web,hacked,1,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",The Register,New York City,USA,40.7128,-74.006,"[40.7128, -74.006]",Just email address/online information,2019-02-01
100,DataCamp,700000,Feb,2019,web,hacked,1,"Part of the theft of 617 million online account details from 16 hacked websites, put up for sale on the dark web.",The Register,New York City,USA,40.7128,-74.006,"[40.7128, -74.006]",Just email address/online information,2019-02-01
101,Ixigo,18000000,Feb,2019,transport,poor security,1,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,Techcrunch,Gurugram,India,28.4595,77.0266,"[28.4595, 77.0266]",Just email address/online information,2019-02-01
102,YouNow,40000000,Feb,2019,web,hacked,1,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,Techcrunch,New York City,USA,40.7128,-74.006,"[40.7128, -74.006]",Just email address/online information,2019-02-01
103,Houzz,57000000,Feb,2019,retail,hacked,2,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,Techcrunch,Palo Alto,USA,37.4419,-122.143,"[37.4419, -122.143]",SSN/Personal details,2019-02-01
105,Coinmama,450000,Feb,2019,financial,hacked,1,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,Techcrunch,Israel,Israel,31.7683,35.2137,"[31.7683, 35.2137]",Just email address/online information,2019-02-01
106,Roll20,4000000,Feb,2019,gaming,hacked,1,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,Techcrunch,Bellingham,USA,48.7519,-122.4787,"[48.7519, -122.4787]",Just email address/online information,2019-02-01
107,Stronghold Kingdoms,5000000,Feb,2019,gaming,hacked,1,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,Techcrunch,London,United Kingdom,51.5074,-0.1278,"[51.5074, -0.1278]",Just email address/online information,2019-02-01
108,Petflow,1000000,Feb,2019,retail,poor security,1,Part of the theft of 127 million online account details from 8 hacked websites. They were put up for sale on the dark web 1 week after a similar tranche of 617 million records from 16 other websites.,Techcrunch,Miami,USA,25.7617,-80.1918,"[25.7617, -80.1918]",Just email address/online information,2019-02-01
109,500px,14800000,Feb,2019,web,hacked,2,"A July 2018 hack exposed the personal information of all 500px users, including names, usernames, email addresses, encrypted passwords, location, birth date, and gender.",PetaPixel,Toronto,Canada,43.65107,-79.347015,"[43.65107, -79.347015]",SSN/Personal details,2019-02-01
110,Blur,2400000,Jan,2019,tech,accident,1,"A server belonging to the password manager service contained a freely accessible file with users' email addresses, names and encrypted passwords.",ZDNet,Boston,USA,42.3601,-71.0589,"[42.3601, -71.0589]",Just email address/online information,2019-01-01
111,Blank Media Games,7600000,Jan,2019,gaming,hacked,1,"A hacker stole usernames, email addresses and encrypted passwords belonging to players of the game ""Town of Salem"" from an insecure server.",ZDNet,Boston,USA,42.3601,-71.0589,"[42.3601, -71.0589]",Just email address/online information,2019-01-01
113,Bulgarian National Revenue Agency,5000000,Jul,2019,government,hacked,2,"A hacker stole personal details of Bulgarian citizens from 110 government databases. 5m records, out of a total population of 7m.",ZDNet,Sofia,Bulgaria,42.6977,23.3219,"[42.6977, 23.3219]",SSN/Personal details,2019-07-01
114,Capital One,100000000,Jul,2019,financial,hacked,3,"The massive data breach included personal information from credit card applications over a 14-year period. A former Amazon employee, Paige Thompson, 36, was found guilty of wire fraud.",Forbes,McLean,USA,38.9343,-77.1775,"[38.9343, -77.1775]",Credit card information,2019-07-01
115,Suprema,27800000,Aug,2019,tech,poor security,5,"A biometric security company stored unencrypted usernames and passwords, fingerprints and facial recognition information on a publicly accessible database.",Guardian,Seoul,South Korea,37.5665,126.978,"[37.5665, 126.978]",Full details,2019-08-01
117,DoorDash,4900000,Sep,2019,transport,hacked,2,"Users who joined the platform before April 2018 had their names, email addresses, order history, phone numbers and encrypted passwords stolen in a hack.",Techcrunch,San Francisco,USA,37.7749,-122.4194,"[37.7749, -122.4194]",SSN/Personal details,2019-09-01
120,Click2Gov,300000,Dec,2018,financial,hacked,3,Vulnerabilities in government payment software allowed hackers to access financial records and personal data across 46 US cities.,Fortune,Lake Mary,USA,28.7577,-81.3389,"[28.7577, -81.3389]",Credit card information,2018-12-01
121,SingHealth,1500000,Jul,2018,health,hacked,4,"Hackers stole personal details of 1.5 million patients, as well as the prescription details of 160,000 people, including prime minister Lee Hesien Loong.",Straits Times,Singapore,Singapore,1.3521,103.8198,"[1.3521, 103.8198]",Health & other personal records,2018-07-01
